id_bien,date_vente,valeur_bien,numero_voie,b_t_q,FK_id_type_voie,nom_voie,FK_id_commune,FK_id_type_bien,nbr_pieces,surface_terrain,surface_reelle,surface_carrez
1,2020-02-03,56000.00,190,A,0,CENTRALE,0,2,2,,52,50.42
2,2020-01-02,165000.00,347,,0,DU CHATEAU,1,2,3,,48,48.22
3,2020-01-08,720000.00,58,,1,DU MONT BLANC,2,2,6,,130,130.8
4,2020-01-06,429250.00,140,,0,DE L'ABBE JOLIVET,3,1,5,,109,109.22
5,2020-01-07,220900.00,39,,0,BUFFON,4,2,4,,91,108.65
6,2020-01-21,42000.00,28,,1,JEAN FALCONNIER,5,2,2,,32,31.65
7,2020-01-07,262000.00,8,,0,DE GENEVE,6,2,2,,52,52.58
8,2020-01-08,190000.00,2,,0,DU RECULET,6,2,2,,60,58.71
9,2020-01-16,563130.00,1403,,0,JEAN DE GINGINS,2,1,4,,96,93.23
10,2020-01-17,535000.00,226,,2,DES CAPUCINES,6,1,5,,117,117
11,2020-01-16,330000.00,276,,3,DE POUGNY,3,2,2,,36,35.6
12,2020-01-27,110600.00,79,,4,DE VERDUN,7,2,5,,137,138.03
13,2020-01-30,50000.00,77,B,0,DU COMMERCE,8,2,2,,43,42
14,2020-01-09,212000.00,240,,0,DE PRE BAILLY,9,2,2,,45,45.36
15,2020-01-15,160000.00,3,,0,TURENNE,4,2,4,,84,82.6
16,2020-01-20,561550.00,44,,2,DU SQUARE DE LAUSANNE,2,2,4,,88,88.11
17,2020-01-28,358000.00,59,,0,ALEXANDRE BERARD,10,2,6,,143,164.87
18,2020-01-22,220000.00,282,,5,DES LONGES RAYES,11,2,2,,42,42.2
19,2020-01-27,79300.00,54,,6,GRANDE RUE,12,2,3,,65,68.11
20,2020-01-06,285000.00,1,,0,DE GEX,13,2,3,,75,82.59
21,2020-01-27,123100.00,17,,7,LES JARDINS DE CHEVRY,1,2,1,,30,30.23
22,2020-01-16,107500.00,329,,0,DES CARPIERES,14,2,1,,25,24.8
23,2020-01-30,128810.00,369,,1,CHARLES DE GAULLE,15,2,2,,52,52.6
24,2020-02-05,31000.00,154,,0,SUR LA VIGNETTE,16,2,3,,88,91.69
25,2020-01-21,125000.00,6,,0,DES USINIERS,9,2,1,,45,45.54
26,2020-01-31,285000.00,2,,0,DU JURA,6,2,3,,83,84.24
27,2020-02-03,140500.00,54,,0,MARCEL DEMIA,10,2,3,,68,68.23
28,2020-01-27,101050.00,269,,5,DE CHARIGNIN,17,2,3,,64,62.03
29,2020-01-31,530000.00,322,,0,DE BRETIGNY,18,1,4,,109,112.93
30,2020-01-29,486415.00,132,,2,DES HETRES,6,2,4,,133,131.91
31,2020-01-28,185000.00,80,,0,DE MEYRIN,13,2,3,,63,63.58
32,2020-01-16,131376.00,4,,0,DE LA MAIRIE,5,2,3,,50,35.86
33,2020-01-23,155000.00,79,,6,GRANDE RUE DE BULLIEZ,15,2,3,,74,70.09
